Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2016-04-13,1084.690185546875,1092.7624794451508,1078.8077523009592,1086.3218361478316,1601468,,
2016-04-18,1081.9208984375,1096.4123481139625,1047.678139572378,1053.260031299608,7121504,,
2016-04-20,1052.1219482421875,1088.4256198344206,1047.67786291699,1088.4256198344206,6405024,,
2016-04-21,1040.9793701171875,1059.4425423322027,1035.7410026869293,1052.400816255875,2525724,,
2016-04-22,1037.8236083984375,1045.702597581306,1032.3060831306643,1038.660870896323,1964126,,
2016-04-25,1052.508544921875,1054.9989481661648,1031.4905982081957,1031.4905982081957,2267654,,
2016-04-26,1069.06103515625,1070.6497063556476,1048.5368289233977,1051.5424627491402,2554368,,
2016-04-27,1078.2064208984375,1079.709237324062,1063.0922975553497,1064.8527815852,1848670,,
2016-04-28,1085.3555908203125,1090.615448791848,1072.6246295796575,1073.998612329038,4992744,,
2016-04-29,1088.68359375,1091.4745396618025,1077.734498249852,1080.7401323087165,2372178,,
2016-05-02,1084.90478515625,1086.321747531708,1073.4404619878535,1085.8923713469128,1116692,,
2016-05-03,1064.0372314453125,1086.3218148866172,1061.4179946243942,1084.174933829529,2153118,,
2016-05-04,1063.9942626953125,1070.8857719241682,1054.9773621639963,1062.233778279356,1364892,,
2016-05-05,1060.6878662109375,1069.1250651650212,1057.789577357193,1063.994041419208,1246566,,
2016-05-06,1062.0191650390625,1066.6994290178757,1043.8136541379831,1058.4124465035495,885598,,
2016-05-09,1078.8289794921875,1081.169058355006,1054.7194477205403,1062.0188416808403,1821276,,
2016-05-10,1083.273193359375,1088.0178214239684,1071.7230152940865,1079.8811632470463,1158534,,
2016-05-11,1081.2977294921875,1084.4321956280662,1069.1463662912022,1073.4401267983958,1598716,,
2016-05-12,1101.865234375,1103.453905422754,1082.2642518708026,1082.2642518708026,1513082,,
2016-05-13,1083.488037109375,1101.7795081312163,1077.7988015354315,1101.350131861485,1621730,,
2016-05-16,1095.4033203125,1101.2643697819958,1083.1017310859552,1089.7570638240454,1111526,,
2016-05-17,1103.582275390625,1112.620661984724,1095.7676524399485,1101.006019154481,1756698,,
2016-05-18,1095.3818359375,1101.715135871486,1084.6259394907534,1101.715135871486,1500740,,
2016-05-19,1097.8934326171875,1099.2030509677638,1084.6472399975455,1097.0561700088424,1038792,,
2016-05-20,1086.020751953125,1101.6929761578629,1083.2298079166649,1091.6026400260453,1230918,,
2016-05-23,1069.7694091796875,1093.148924416428,1064.9389264932458,1092.3331514939914,1533016,,
2016-05-24,1059.571533203125,1068.395234291207,1056.0936491904451,1066.5703856040827,1339158,,
2016-05-25,1084.79736328125,1087.588308282182,1065.2822380480577,1065.2822380480577,1548678,,
2016-05-26,1094.35107421875,1101.3069475294085,1075.630335236248,1086.3217604333552,1943248,,
2016-05-27,1104.634521484375,1107.7261136580212,1095.1668611441123,1096.2616864751026,1104676,,
2016-05-30,1132.00732421875,1134.3903829943265,1108.6493018507608,1109.0786780327326,1349464,,
2016-05-31,1103.2391357421875,1136.5587698690892,1100.0617938816042,1133.5531365524728,3722608,,
2016-06-01,1130.7830810546875,1135.699414833808,1103.925593776076,1104.0114480025006,1911942,,
2016-06-02,1137.9112548828125,1139.693228947678,1116.3780811337508,1116.3780811337508,1408756,,
2016-06-03,1129.066162109375,1141.2818935407442,1125.1802866905643,1138.4479688038448,1554922,,
2016-06-06,1133.383056640625,1144.8795737701855,1129.3484086912558,1136.8537033212472,1322026,,
2016-06-07,1141.4735107421875,1144.8791238254128,1133.5995265463448,1134.0333572109244,1202194,,
2016-06-08,1133.643310546875,1140.3459752515228,1130.3461540869146,1135.443666008051,938266,,
2016-06-09,1118.09033203125,1137.6777485809453,1108.5243425403028,1137.6777485809453,1562138,,
2016-06-10,1108.76318359375,1129.3701487588496,1107.6568937543716,1113.2099497609556,1396832,,
2016-06-13,1104.967041015625,1107.7219089454982,1092.3859478905945,1101.930225433721,1029978,,
2016-06-14,1099.6962890625,1110.151550106373,1092.494653822794,1110.151550106373,977570,,
2016-06-15,1109.240234375,1112.732487302311,1094.1211898413976,1097.5918359630198,1270844,,
2016-06-16,1109.869140625,1112.6456148378643,1091.7132828154006,1104.3377990024835,1145070,,
2016-06-17,1129.087646484375,1132.2979507985274,1110.1725885415449,1110.1725885415449,1878988,,
2016-06-20,1153.685791015625,1157.4600962332495,1124.402224113172,1129.0876160007003,1872838,,
2016-06-21,1150.1719970703125,1156.158882259148,1145.9204347816783,1155.5081361715725,1027690,,
2016-06-22,1157.3082275390625,1161.668246515218,1141.733750425792,1149.6511593534146,1761712,,
2016-06-23,1147.6341552734375,1153.772817690128,1138.9358280197243,1151.8205794199248,1397014,,
2016-06-24,1116.6585693359375,1125.0098107615645,1090.7154708929272,1112.840837786796,3766586,,
2016-06-27,1082.7763671875,1104.9667645570255,1077.049717361833,1104.9667645570255,4272566,,
2016-06-28,1068.9375,1085.8351903978848,1066.5297176031245,1082.7767676427634,4499524,,
2016-06-29,1085.8345947265625,1089.9994109615818,1069.522627290036,1073.730763036782,2531264,,
2016-06-30,1107.6131591796875,1111.8646151407092,1084.7285906504849,1094.1209825715482,5121812,,
2016-07-01,1084.9453125,1112.6020136100328,1082.1254135632907,1111.474011669079,2197296,,
2016-07-04,1082.0609130859375,1095.7917233957107,1076.7681977611535,1091.5184470455529,1883484,,
2016-07-05,1078.1993408203125,1083.29685098236,1074.6635574563738,1082.0603912576312,1559748,,
2016-07-07,1054.121826171875,1081.0410415271892,1052.0394176877458,1079.240580623791,3316800,,
2016-07-08,1052.733642578125,1059.4363058601923,1042.7121108172623,1056.3777781735112,2456356,,
2016-07-11,1069.0242919921875,1072.343161684862,1052.9075175975645,1054.2090102027532,1543632,,
2016-07-12,1069.3712158203125,1073.731236570136,1056.7468030124976,1072.299573738231,1465536,,
2016-07-13,1081.5833740234375,1084.251390495428,1063.427516635758,1075.0324880054698,2102300,,
2016-07-14,1094.0775146484375,1097.1577547445222,1071.9955761066483,1078.503036099202,2699988,,
2016-07-15,1060.8681640625,1096.6374914936046,1052.7121240322017,1091.9520977812442,8336366,,
2016-07-18,1055.7052001953125,1071.1279013677674,1054.468846361616,1061.583626831481,2598850,,
2016-07-19,1069.9134521484375,1072.7767776726148,1053.1242220875895,1053.1242220875895,2362896,,
2016-07-20,1082.38623046875,1085.66167448601,1062.082926022489,1062.885555440849,2815252,,
2016-07-21,1087.201171875,1093.036172130706,1069.1537769544002,1080.0212544232556,2527148,,
2016-07-22,1091.127685546875,1094.988736586147,1081.106153554944,1084.099543154766,1517216,,
2016-07-25,1113.0277099609375,1114.8762681029862,1089.9099017899646,1092.606600665041,1688796,,
2016-07-26,1110.2662353515625,1116.9645002367183,1101.7410744157353,1113.0281360363977,2311290,,
2016-07-27,1121.117919921875,1122.357477558,1106.9601179998,1111.3096665970488,1750510,,
2016-07-28,1139.255126953125,1143.7351817151025,1120.9000593842677,1122.4006318994136,4632080,,
2016-07-29,1139.2777099609375,1146.0629445876305,1130.4481017794126,1136.972427107112,2488084,,
2016-08-01,1177.9666748046875,1185.2521697933253,1144.8013617967092,1144.8013617967092,3961704,,
2016-08-02,1174.0299072265625,1181.2066610127456,1169.941374818365,1175.6392186557412,2578162,,
2016-08-03,1155.3701171875,1173.9426604553869,1152.2166958135465,1168.2882497158832,2294702,,
2016-08-04,1153.5,1166.9618283094865,1146.649462669683,1161.329185520362,1415416,,
2016-08-05,1152.2388916015625,1167.549280498756,1144.8011214745868,1163.0256865174442,1868484,,
2016-08-08,1152.4129638671875,1160.4596292121746,1143.518157737382,1148.2808924738158,2058244,,
2016-08-09,1152.717529296875,1156.8931390830076,1121.6835588887716,1156.1101989743368,2261914,,
2016-08-10,1163.6778564453125,1166.548600174587,1151.7601391731191,1153.0650033791312,2062078,,
2016-08-11,1178.68408203125,1180.9023941980674,1159.393898532563,1159.393898532563,2233138,,
2016-08-12,1191.10205078125,1193.8640564690968,1175.2697372086304,1176.5528327382826,2327358,,
2016-08-16,1170.7681884765625,1191.776533275623,1163.004306526807,1190.9066233973197,3183754,,
2016-08-17,1141.561279296875,1173.9436610088578,1138.7123025273029,1173.9436610088578,1848566,,
2016-08-18,1147.6497802734375,1155.9139198279931,1143.9744341832504,1146.1056698028526,1292064,,
2016-08-19,1132.4046630859375,1151.0859478896034,1130.8823214993038,1148.2805110608317,2416244,,
2016-08-22,1108.5692138671875,1128.4683948245631,1103.1758171329343,1125.6629577636809,2265274,,
2016-08-23,1131.3394775390625,1133.0357591934733,1104.872429078523,1106.9384648784614,1503374,,
2016-08-24,1118.7255859375,1131.75246179041,1117.420721454267,1126.4460341299596,1116878,,
2016-08-25,1109.591796875,1126.4027624655596,1098.6961546261252,1122.18372087704,1939690,,
2016-08-26,1098.2391357421875,1118.9430273527842,1094.8682359356185,1113.397353477461,1250314,,
2016-08-29,1087.626220703125,1102.5886229938624,1072.9247275721466,1102.5886229938624,1488728,,
2016-08-30,1106.5902099609375,1109.0477682906155,1087.93069155043,1091.73654604361,1444026,,
2016-08-31,1092.302001953125,1109.134731343726,1087.7567455666258,1109.134731343726,3231668,,
2016-09-01,1090.64892578125,1102.5884112282504,1081.754123277607,1098.2170951929786,1345736,,
2016-09-02,1093.82421875,1095.82494687168,1085.6688172455663,1092.6063242206465,1742330,,
2016-09-06,1080.4493408203125,1096.1511431866004,1078.687752889062,1096.0424045018333,2239066,,
2016-09-07,1061.529052734375,1087.2565889651692,1053.8955740778292,1087.2565889651692,3854040,,
2016-09-08,1010.009033203125,1026.4937849859357,993.763421714668,1026.4937849859357,7021516,,
2016-09-09,1023.2091064453124,1029.3854416072586,1009.116617417204,1013.3138875650832,2742438,,
2016-09-12,1026.080322265625,1028.2115586836242,1010.8351326119108,1016.4895460043182,2024454,,
2016-09-14,1012.7708129882812,1034.1489120916874,1004.745915550168,1027.3635725235918,2069858,,
2016-09-15,1012.1181640625,1018.7077937351628,1007.6816458432722,1017.7725770962596,2818964,,
2016-09-16,1027.2327880859375,1033.4526633161463,1009.0951931369782,1016.3589174702372,4358004,,
2016-09-19,1048.8720703125,1055.6356408771264,1022.144110449628,1028.668434558881,2802546,,
2016-09-20,1046.7186279296875,1051.242114948949,1037.541040035263,1048.6759243459285,1184552,,
2016-09-21,1049.7198486328125,1054.3304118869196,1044.195944032983,1047.2406275656597,1678020,,
2016-09-22,1034.3223876953125,1056.0701250312106,1031.321242419008,1054.873999477736,2857574,,
2016-09-23,1043.065185546875,1045.5661757360483,1031.3430683168096,1036.0623705411326,1800726,,
2016-09-26,1044.3701171875,1052.1993043703771,1041.7168501661329,1044.3701171875,1753476,,
2016-09-27,1059.5936279296875,1064.76954853679,1044.3702070968493,1044.3702070968493,2038792,,
2016-09-28,1053.9168701171875,1060.2019434774236,1050.5024336898464,1057.3747382948172,1731328,,
2016-09-29,1060.3330078125,1068.4666426778997,1052.416850383021,1059.115112933314,3603958,,
2016-09-30,1057.2882080078125,1065.5523496684286,1053.9390770991702,1060.006675659331,2175364,,
2016-10-03,1048.98046875,1068.9666205496433,1044.3700115892332,1065.6392588094154,1818880,,
2016-10-04,1046.1317138671875,1054.7873799142894,1043.0218288718445,1052.590836476173,1780718,,
2016-10-05,1037.9549560546875,1050.590314453032,1033.496667092808,1047.3716897761417,1176354,,
2016-10-06,1038.998291015625,1044.9353816310877,1032.0390141317946,1041.7167585483712,2267572,,
2016-10-07,1029.8861083984375,1038.6721750735087,1025.7104993894195,1038.6721750735087,1816512,,
2016-10-10,1035.3226318359375,1038.1932689704838,1024.3400263166343,1030.799039511943,1202142,,
2016-10-13,1012.966064453125,1030.799209020988,1009.486426488664,1027.9285714143816,5173334,,
2016-10-14,1029.1905517578125,1038.2376374529183,996.4819553433748,1006.9208758707608,7741214,,
2016-10-17,1027.55908203125,1033.365771855887,1019.7081256140582,1030.3645196245543,2728346,,
2016-10-18,1043.9786376953125,1050.720438050894,1024.231729452444,1033.4527512814027,2128632,,
2016-10-19,1041.760498046875,1048.241283422678,1030.9735955520457,1044.326689418195,1985058,,
2016-10-20,1044.3916015625,1047.9583156219544,1037.8020792853358,1042.543043793446,1265854,,
2016-10-21,1056.35302734375,1057.7666305706102,1043.1304427131763,1043.8916136814858,1259660,,
2016-10-24,1058.7734375,1061.9134948404462,1047.8050109675416,1058.9914985163518,1253190,,
2016-10-25,1046.01708984375,1053.0605260504894,1038.4067800543787,1048.873711058707,1772466,,
2016-10-26,1045.0574951171875,1047.8922885311729,1034.6995961045498,1046.0824245569042,1437130,,
2016-10-27,1054.5870361328125,1059.5587861594352,1031.646967960545,1037.8398813283964,2941602,,
2016-10-28,1046.1259765625,1053.278442317274,1041.4594917596048,1051.054177194576,1752102,,
2016-11-01,1024.8868408203125,1046.5620859034898,1017.9742635804796,1046.5620859034898,2934776,,
2016-11-02,1004.8472900390624,1022.2703491400003,1000.9003631724834,1020.9619826521932,2325076,,
2016-11-03,1011.563232421875,1018.3449513587068,996.3207885991288,1000.4639479301386,1463310,,
2016-11-04,1016.4039916992188,1018.846210637651,1000.4637137616616,1011.8028840135376,1183752,,
2016-11-07,993.0715942382812,1022.6624072440264,985.657520441028,1019.6095533275104,2048052,,
2016-11-08,995.7538452148438,1006.1335713201912,985.6358349300529,994.5545095749952,1933634,,
2016-11-09,946.3195190429688,992.177712252183,934.5442231173384,950.7461154768172,4500226,,
2016-11-10,940.0394897460938,967.100891105656,933.6503426835228,961.5621609612056,2172426,,
2016-11-11,916.3577880859376,936.375853745282,909.8377848379204,936.375853745282,2398424,,
2016-11-15,925.1456298828124,940.9550525534896,894.8786988709946,923.2266291770366,6290324,,
2016-11-16,954.9326171875,963.3496852270792,932.428683087955,935.5251913701876,4019958,,
2016-11-17,932.0799560546876,963.2191320409884,929.0052745311832,952.926609820846,2504688,,
2016-11-18,926.802734375,937.6621275881996,917.6877223659563,934.1731522297318,2140534,,
2016-11-21,930.20458984375,933.301098695818,918.0368283900452,927.2825936802363,1793366,,
