"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"KFINTECH",411,1502,1913,2053.333665,151.461765,2204.79543,8210,1123.5
"SONACOMS",458,612,1070,2143.024695,61.21248,2204.237175,29025,445.65
"ICICIPRULI",349,877,1226,2013.957545,75.4277375,2089.3852825,17933,623.55
"CONCOR",293,1070,1363,1993.13425,94.3635,2087.49775,30020,541.7
"IOC",274,1381,1655,1915.4659875,154.9455375,2070.411525,30317,142.87
"SBILIFE",271,1993,2264,1885.9482,141.9223875,2027.8705875,30962,1852.9
"BANKINDIA",323,593,916,1925.34472,77.01616,2002.36088,17771,114.25
"UNIONBANK",310,916,1226,1878.126645,112.5051825,1990.6318275,30892,136.3
"TATACONSUM",331,1107,1438,1914.37169,70.09398,1984.46567,37981,1045.9
"INDIANB",277,780,1057,1870.2561,88.0917,1958.3478,11957,674
"DRREDDY",234,1728,1962,1792.75875,132.9783125,1925.7370625,37623,1226.8
"BOSCHLTD",181,3886,4067,1757.0622375,162.5019625,1919.5642,32205,38690
"BANDHANBNK",302,603,905,1811.7684,58.57632,1870.34472,34045,167.12
"GMRAIRPORT",291,568,859,1809.628875,45.891315,1855.52019,40041,88.92
"OFSS",265,1127,1392,1696.8801075,109.338315,1806.2184225,19178,8513
"LICI",258,2178,2436,1663.95516,136.69922,1800.65438,17747,917.7
"LICHSGFIN",308,528,836,1746.0299,27.4131,1773.443,52097,574.05
"KPITTECH",353,785,1138,1712.72432,53.87352,1766.59784,22592,1209.2
"TORNTPHARM",189,336,525,1723.3748,40.118425,1763.493225,13574,3623.6
"TORNTPOWER",328,849,1177,1687.3623,73.9276125,1761.2899125,9683,1361.1
"DABUR",265,1505,1770,1666.139875,83.26925,1749.409125,26719,501.5
"APLAPOLLO",301,754,1055,1679.461525,46.23276,1725.694285,28331,1597.6
"IIFL",216,539,755,1607.12805,59.06571,1666.19376,13681,447.8
"LODHA",283,922,1205,1564.029,94.035375,1658.064375,26937,1223.5
"YESBANK",272,528,800,1594.75824,37.98554,1632.74378,49163,18.79
"NUVAMA",278,2372,2650,1441.120725,163.233765,1604.35449,4521,6910
"EXIDEIND",227,656,883,1546.78914,56.87334,1603.66248,25889,377.5
"TIINDIA",239,851,1090,1457.4237,96.24688,1553.67058,11113,3037.5
"MARICO",175,570,745,1490.42016,51.91056,1542.33072,29387,705.35
"PETRONET",281,1328,1609,1410.79428,112.84164,1523.63592,39102,276.9
"SYNGENE",220,662,882,1446.6984,70.4885,1517.1869,13288,656.05
"KEI",200,1610,1810,1339.9409975,161.8297625,1501.77076,10043,3808.2
"NAUKRI",281,1441,1722,1396.8915,93.87165,1490.76315,41738,1320
"TATACHEM",229,772,1001,1414.72136,64.01668,1478.73804,22652,947.5
"IREDA",277,597,874,1380.159735,61.01532,1441.175055,19651,144.26
"CROMPTON",237,388,625,1370.8116,35.5005,1406.3121,26884,319
"DALBHARAT",186,192,378,1374.76157,20.22189,1394.98346,9735,2264.3
"TATATECH",256,600,856,1360.348,28.49664,1388.84464,21587,662.8
"POONAWALLA",174,236,410,1335.80322,35.23522,1371.03844,8644,450.15
"ABFRL",630,2460,3090,1222.6032,117.156,1339.7592,32250,74.5
"PPLPHARMA",261,559,820,1254.411,63.63675,1318.04775,9310,191.73
"BLUESTARCO",220,625,845,1258.59019,48.2776125,1306.8678025,7538,1760.9
"UNOMINDA",209,215,424,1241.045575,17.695535,1258.74111,8273,1071.7
"ADANIENSOL",221,632,853,1183.7134125,58.683555,1242.3969675,38583,791
"NCC",194,563,757,1164.40146,69.03144,1233.4329,9619,223.94
"CGPOWER",205,587,792,1156.29614,35.90043,1192.19657,26125,662
"GODREJCP",174,534,708,1042.1764,37.7226,1079.899,23089,1195
"HFCL",221,381,602,1033.180995,42.924105,1076.1051,22027,71.96
"NIFTYNXT50",54,19,73,900.32183,2.56237,902.8842,1190,66613.95
"MANKIND",147,725,872,812.2160925,49.62951,861.8456025,10749,2458.6
"PHOENIXLTD",140,957,1097,713.8488,52.499545,766.348345,15115,1448.2
"CESC",121,328,449,725.0032625,37.5394125,762.542675,7707,165.29
"PGEL",167,916,1083,591.63398,66.57441,658.20839,45842,503.65
"ATGL",108,592,700,581.6664,48.6436125,630.3100125,6845,609.7
"ICICIGI",87,208,295,540.50269,12.3835075,552.8861975,18985,1906.6
"CYIENT",60,308,368,300.1961575,15.8431075,316.039265,10450,1167.8
"RBLBANK",37,57,94,301.34306,9.64438,310.98744,39829,256.5
"IRB",55,101,156,287.7362125,7.4264675,295.16268,9876,44.6
"PNBHOUSING",10,69,79,50.21172,2.694055,52.905775,48165,771.5
