"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"BANDHANBNK",13291,9701,22992,83058.22476,964.34676,84022.57152,41739,173.9
"PRESTIGE",11268,8511,19779,83021.961555,975.367845,83997.3294,23446,1641
"GODREJCP",13714,5373,19087,83191.82875,342.6653,83534.49405,40581,1213
"SOLARINDS",7599,11716,19315,82616.304825,500.7659475,83117.0707725,31488,14482
"ASHOKLEY",13393,5414,18807,82710.443,383.3645,83093.8075,32145,123
"LODHA",13800,66514,80314,77276.668095,4191.73578,81468.403875,37012,1248
"MFSL",6552,3835,10387,79567.94,479.74456,80047.68456,14206,1502.5
"NYKAA",11984,4609,16593,78645.599375,326.865625,78972.465,28389,210
"HINDZINC",14510,8660,23170,77576.653245,556.9890025,78133.6422475,55702,438
"IEX",13878,43356,57234,69699.595125,8315.77575,78015.370875,44786,134.99
"SYNGENE",10819,19860,30679,75846.1352,1874.7736,77720.9088,22854,709.7
"DELHIVERY",8646,15049,23695,75692.9279625,1752.4588875,77445.38685,13789,422.2
"DABUR",11705,12511,24216,75749.98725,568.6485,76318.63575,37275,518.5
"IIFL",8820,5947,14767,73734.92676,818.67126,74553.59802,16420,520
"PETRONET",13786,15651,29437,73136.48328,803.22426,73939.70754,40388,293.4
"ASTRAL",11997,7237,19234,72322.994175,411.036455,72734.03063,27377,1423.5
"OFSS",10976,17272,28248,71387.991135,898.6998825,72286.6910175,32981,8645
"OBEROIRLTY",11779,29191,40970,68842.327645,1684.11243,70526.440075,32246,1665.9
"FORTIS",10620,7126,17746,69980.682625,468.3448225,70449.0274475,25920,848.65
"JINDALSTEL",11282,12386,23668,69493.754375,792.8100625,70286.5644375,47460,983.55
"GMRAIRPORT",10922,13296,24218,68648.528925,1376.91243,70025.441355,52551,90.09
"ICICIPRULI",11836,4281,16117,67750.945495,166.9302175,67917.8757125,32925,615.5
"SHREECEM",8759,15276,24035,66727.85897,506.01474,67233.87371,22050,30510
"CONCOR",8916,4977,13893,66032.084125,513.111,66545.195125,28861,592.25
"BDL",12306,23966,36272,64764.0591,1449.91782,66213.97692,34699,1621
"PIDILITIND",9084,3194,12278,65504.012075,176.133525,65680.1456,25113,2893
"POONAWALLA",9042,25831,34873,63164.98104,2252.58789,65417.56893,17924,411.7
"ZYDUSLIFE",7100,7578,14678,63477.45495,885.69153,64363.14648,18993,995.6
"IREDA",12265,15532,27797,62848.21185,1373.927655,64222.139505,26518,150.74
"EXIDEIND",8746,20601,29347,61637.09544,2087.39196,63724.4874,25177,392.25
"IOC",8665,11272,19937,62400.0560625,1072.79055,63472.8466125,43886,148.1
"PIIND",8173,18986,27159,60348.05637,1289.91681,61637.97318,14589,4254
"KPITTECH",12159,15870,28029,58479.0436,1016.067,59495.1106,26999,1218
"IRCTC",9071,9871,18942,58259.93355,643.1851125,58903.1186625,37658,736
"TITAGARH",9209,10280,19489,57660.563845,782.060545,58442.62439,18328,874
"PNBHOUSING",8835,8193,17028,57557.18176,436.90322,57994.08498,28243,1010.6
"ANGELONE",8569,29519,38088,56243.643975,1559.274875,57802.91885,32840,2644.1
"IRFC",10002,11592,21594,55917.2636,1044.6364,56961.9,30287,132.35
"APLAPOLLO",10174,20435,30609,54120.85399,1966.913375,56087.767365,35261,1515.2
"BANKINDIA",9306,8081,17387,54139.42872,889.3898,55028.81852,27347,112.3
"SIEMENS",14106,16478,30584,54182.5959375,547.237,54729.8329375,42426,3061.3
"HUDCO",8896,8439,17335,53237.0765775,891.52758,54128.6041575,23487,217.15
"PPLPHARMA",10068,27314,37382,51078.995,2423.29825,53502.29325,13447,206.04
"RVNL",10519,5389,15908,51379.6045125,417.2306875,51796.8352,24609,360.55
"NATIONALUM",6889,7221,14110,48876.586875,601.26675,49477.853625,29018,189.46
"SUPREMEIND",6347,11907,18254,48383.62872,672.151025,49055.779745,16160,4314.6
"LICI",7584,8973,16557,47813.49125,472.48383,48285.97508,23492,899
"JSL",8139,14082,22221,47202.900315,975.775775,48178.67609,13001,677.9
"INOXWIND",8999,3234,12233,45806.398683199994,208.0154368,46014.41412,21231,156.55
"IGL",7940,8730,16670,44828.34015,838.80445,45667.1446,17848,205.1
"TATATECH",7969,7889,15858,44985.48376,415.47208,45400.95584,26754,707.2
"GRANULES",8449,16369,24818,43484.4509,1136.9360175,44621.3869175,21448,489.05
"HFCL",8639,7168,15807,43562.338305,1057.451055,44619.78936,23996,78.45
"ALKEM",6873,6325,13198,43658.88135,364.2276625,44023.1090125,17395,5079.9
"INDIANB",6644,3938,10582,41997.7096,249.9593,42247.6689,14822,630
"PGEL",7225,6549,13774,40517.97687,588.21595,41106.19282,15767,807
"CAMS",6619,12612,19231,38907.26802,840.02289,39747.29091,31060,3916
"NBCC",5516,2163,7679,39113.464,289.95525,39403.41925,16839,109.85
"TIINDIA",6889,3027,9916,39199.72154,182.4003,39382.12184,16251,2873.2
"MANKIND",6608,5610,12218,37925.9272125,405.5668425,38331.494055,15274,2555
"PHOENIXLTD",7092,6334,13426,37331.753235,282.92068,37614.673915,21049,1511.5
"CESC",5781,7192,12973,36851.7764625,758.0777625,37609.854225,9062,177.48
"OIL",6018,4921,10939,36784.51182,348.06884,37132.58066,18849,440.3
"KEI",4930,10645,15575,33805.2620325,536.6932375,34341.95527,14724,3911.3
"MANAPPURAM",4316,6113,10429,33622.6776,510.4155,34133.0931,16457,258.5
"360ONE",6086,6546,12632,32868.6262,208.73575,33077.36195,20780,1083.8
"DALBHARAT",4454,4391,8845,31910.887125,204.0924925,32114.9796175,16742,2198.9
"FINNIFTY",722,492586,493308,12544.674194000001,17712.354842,30257.029036,91438,26704.35
"NCC",4944,5829,10773,29471.74497,541.86219,30013.60716,12178,222.46
"KAYNES",5212,9650,14862,28620.50534,683.22952,29303.73486,14598,5560.5
"TORNTPOWER",5780,5405,11185,28894.512225,216.5146875,29111.0269125,12226,1326.1
"NHPC",5323,1718,7041,28572.78336,122.78656,28695.56992,17369,84.17
"ABFRL",14161,11636,25797,27715.14642,277.74058,27992.887,39160,75.35
"ATGL",4999,6601,11600,27357.390725,401.5186875,27758.9094125,12225,629.5
"IRB",4854,2269,7123,26016.941265,215.4352725,26232.3765375,13519,46.55
"CYIENT",4708,8050,12758,24631.5654125,312.9334925,24944.498905,14289,1230.9
"SJVN",4069,2443,6512,22806.419825,204.4917125,23010.9115375,10049,96.47
"UNOMINDA",3716,4048,7764,21699.854385,232.168475,21932.02286,9165,1075
"PEL",1780,13164,14944,17262.4845,1174.461675,18436.946175,15673,1300
"AARTIIND",3003,13138,16141,17554.8398025,713.8785975,18268.7184,14699,442.9
"HINDCOPPER",2550,8102,10652,17288.388,615.59129,17903.97929,12853,258.2
"BSOFT",3196,16327,19523,16652.02292,983.26995,17635.29287,12794,409.4
"KFINTECH",3383,6711,10094,17221.989825,392.64003,17614.629855,10159,1128
"MGL",3030,14544,17574,16929.216,486.87956,17416.09556,14121,1395
"BLUESTARCO",3048,4245,7293,17230.2338325,102.99367,17333.2275025,11856,1744
"BALKRISIND",2022,10354,12376,16573.40388,498.83379,17072.23767,10113,2736
"ACC",2484,7985,10469,13648.11444,231.95748,13880.07192,18438,1829
"CHAMBLFERT",2688,5365,8053,13527.696,186.90224,13714.59824,15906,533.3
"M&MFIN",2559,3027,5586,13113.2740896,118.9346656,13232.2087552,14416,251.5
"RBLBANK",1495,439,1934,12034.9603725,63.075185,12098.0355575,33383,256
"NIFTYNXT50",710,1901,2611,11916.025755,63.1085775,11979.1343325,1931,67446.7
"TATACOMM",1798,7838,9636,10928.4238,285.631815,11214.055615,13774,1728.2
