"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"UNITDSPR",2702,8769,11471,15222.2978,693.09162,15915.38942,39865,1592.5
"ZYDUSLIFE",1674,7315,8989,14642.1531,1098.09855,15740.25165,15391,974
"KPITTECH",2648,10766,13414,14349.93288,1330.80976,15680.74264,11419,1357.9
"SAIL",2601,11053,13654,14416.77086,1226.38055,15643.15141,47962,133.65
"BPCL",2476,11978,14454,14378.2383675,1200.7262225,15578.96459,38204,320.3
"CIPLA",2896,27827,30723,14366.700385,1000.091405,15366.79179,62085,1505.7
"DMART",2244,11989,14233,14176.42812,1100.47653,15276.90465,36855,4180.1
"VBL",3370,10756,14126,14412.76605,801.3408625,15214.1069125,74135,476.5
"LTIM",1710,10406,12116,13558.009785,1597.066515,15155.0763,22655,5253
"GMRAIRPORT",2845,6383,9228,14095.644615,695.8903275,14791.5349425,46581,86.35
"DALBHARAT",2416,6317,8733,14048.9541875,635.1692625,14684.12345,13888,2125
"JUBLFOOD",1573,4255,5828,13791.36225,686.286375,14477.648625,19927,698.95
"CROMPTON",2202,3047,5249,14076.31068,378.7758,14455.08648,23601,354.35
"AUROPHARMA",2094,4812,6906,13483.4491,550.76604,14034.21514,42080,1160
"PIDILITIND",1766,5493,7259,13482.3435,523.104975,14005.448475,19517,3065
"AMBUJACEM",2630,8738,11368,13272.67521,723.68778,13996.36299,45991,560
"DELHIVERY",2244,6880,9124,12953.10717,928.3025875,13881.4097575,14825,372
"PETRONET",2791,8290,11081,13169.36637,680.1825,13849.54887,34444,310.55
"SONACOMS",3222,5254,8476,13275.61107,506.802175,13782.413245,29542,521
"CUMMINSIND",2441,10980,13421,12774.05646,949.937605,13723.994065,42048,3407.4
"HINDPETRO",1553,4326,5879,12860.044785,720.0302625,13580.0750475,29382,407.5
"CESC",2494,9192,11686,12564.067505,955.0749425,13519.1424475,12831,171
"PPLPHARMA",2375,4545,6920,12605.9325,677.74625,13283.67875,4651,210.9
"SJVN",2374,7402,9776,11920.8409075,925.1444675,12845.985375,12503,103.4
"NCC",2628,10577,13205,11598.4163475,1199.951825,12798.3681725,12160,239.49
"OIL",2577,4492,7069,12143.89785,479.52118,12623.41903,16480,434
"MARICO",1435,4928,6363,12114.74616,499.947,12614.69316,20852,704.3
"GODREJCP",1895,5641,7536,11572.68405,458.64255,12031.3266,24418,1218
"SHREECEM",1518,11287,12805,11202.88144,785.4525425,11988.3339825,15410,29850
"INOXWIND",1907,3203,5110,11396.503065,496.25784,11892.760905,26540,183.99
"APLAPOLLO",1690,5572,7262,11254.845455,578.117085,11832.96254,15109,1883.8
"TATACONSUM",2108,8101,10209,10847.7280124,603.5418520000001,11451.269864400001,50111,1120.1
"DABUR",1776,6194,7970,10773.659625,533.98775,11307.647375,29748,485.6
"TATACOMM",2452,7992,10444,10653.58267,585.410275,11238.992945,25046,1746.1
"BOSCHLTD",1334,1872,3206,10619.895845,250.56626,10870.462105,15148,31650
"KEI",1704,8019,9723,9789.80913,989.00327,10778.8124,9513,3805
"PAGEIND",1483,2923,4406,10307.58972,117.1582725,10424.7479925,14791,46405
"SYNGENE",1501,5083,6584,9865.6187,537.7236,10403.3423,13265,655.65
"BSOFT",2139,10321,12460,9243.82576,929.61415,10173.43991,25425,417.8
"FORTIS",1504,2703,4207,8931.29561,322.11945,9253.41506,8160,767
"PATANJALI",1654,4784,6438,8459.23092,359.7018,8818.93272,34426,1698
"ATGL",1469,5318,6787,7934.485685,580.56561,8515.051295,10224,690.15
"TORNTPOWER",1507,1764,3271,7997.6564625,179.809575,8177.4660375,9946,1407.9
"ALKEM",1547,6063,7610,7750.1869575,391.4713425,8141.6583,26423,4875
"BLUESTARCO",1390,8664,10054,7146.6927025,985.5655225,8132.258225,3842,1569
"ACC",1299,6279,7578,7427.28834,472.34748,7899.63582,30172,1905
"TIINDIA",1610,3581,5191,7526.699735,302.05671,7828.756445,18559,3040
"BALKRISIND",1006,1985,2991,7557.74172,230.08287,7787.82459,13399,2503.3
"KAYNES",1276,1827,3103,7278.52084,186.75614,7465.27698,3436,5660
"PIIND",1343,7489,8832,6705.7934325,595.014575,7300.8080075,24659,3932
"TORNTPHARM",878,3079,3957,6960.3048,278.961025,7239.265825,14393,3180.2
"GRANULES",1155,3167,4322,6235.7833,381.6628725,6617.4461725,17370,536.5
"SUPREMEIND",1074,3527,4601,5941.7226325,412.6936,6354.4162325,14601,4380
"NIFTYNXT50",359,500,859,6183.8029925,115.6510725,6299.454065,1009,68843.5
"UNOMINDA",938,2414,3352,5658.939275,343.70501,6002.644285,4308,1093
"CYIENT",1233,2538,3771,5143.99832,186.9680175,5330.9663375,13952,1326
"MANKIND",775,1241,2016,4142.814255,104.0477625,4246.8620175,4657,2352.4
"HINDCOPPER",483,1020,1503,3320.5136,159.01749,3479.53109,24624,258.49
"ABFRL",1120,676,1796,2258.22246,17.78504,2276.0075,52029,77.33
"CHAMBLFERT",417,715,1132,2174.790635,56.272395,2231.06303,34581,552.9
