"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"SBILIFE",1650,7096,8746,11291.541675,421.2483,11712.789975,28494,1819.1
"BRITANNIA",1388,11495,12883,10808.184875,889.7413875,11697.9262625,51585,6205
"LICHSGFIN",1978,4918,6896,11360.031,334.3702,11694.4012,43253,571.25
"COLPAL",2088,9891,11979,11126.87964,506.192805,11633.072445,39243,2359.8
"CIPLA",1875,10502,12377,10973.14245,578.175675,11551.318125,51310,1555.4
"KPITTECH",2116,2680,4796,10618.10568,220.07968,10838.18536,15388,1250.1
"FORTIS",1366,4765,6131,10303.200765,423.5867125,10726.7874775,17514,967.8
"HINDPETRO",1198,5123,6321,9781.503705,623.8642275,10405.3679325,32792,401.35
"DABUR",1460,7313,8773,9857.766625,477.52225,10335.288875,39119,537.3
"IRFC",1727,8954,10681,9479.605025,793.078475,10272.6835,22575,128.9
"KALYANKJIL",1536,8930,10466,9183.60119,953.26857,10136.86976,38127,506
"ALKEM",1390,5243,6633,9586.953775,508.4197625,10095.3735375,17407,5509
"PPLPHARMA",1781,7520,9301,9132.2275,849.61625,9981.84375,11721,205.4
"OIL",1686,3695,5381,9448.0596,328.79952,9776.85912,13244,399.25
"LICI",1457,6320,7777,9050.36118,520.29215,9570.65333,22960,883
"SONACOMS",1881,6019,7900,8633.965095,528.87072,9162.835815,39616,432.85
"HFCL",1783,2132,3915,8723.8056,282.67512,9006.48072,25773,76.4
"FINNIFTY",274,43344,43618,4734.320175,3999.157188,8733.477363,28576,26502.25
"BANKINDIA",1262,2286,3548,7753.29256,247.59592,8000.88848,17227,117.7
"ICICIGI",1234,3880,5114,7653.5072575,297.565255,7951.0725125,21261,1890.4
"PIDILITIND",994,3548,4542,7662.803025,196.672425,7859.47545,24137,3073.9
"PETRONET",1421,6695,8116,7176.3786,555.37308,7731.75168,37035,280
"IRCTC",1124,6397,7521,7165.765425,554.4564375,7720.2218625,30425,728
"CAMS",1245,5366,6611,7260.378495,420.000285,7680.37878,22312,3897
"ICICIPRULI",1256,3659,4915,7025.80457,267.1687675,7292.9733375,19874,603.25
"PGEL",1574,3786,5360,6329.75049,334.21283,6663.96332,26006,569.9
"IGL",1003,3706,4709,5963.002375,394.47815,6357.480525,10579,215.7
"NUVAMA",1243,3995,5238,5985.5595075,330.035415,6315.5949225,12700,6382.5
"PIIND",919,1549,2468,5999.0440475,142.3287775,6141.372825,15391,3715
"TORNTPHARM",664,4988,5652,5898.7887,216.582075,6115.370775,13413,3530.7
"INOXWIND",1084,2070,3154,5390.5437624,207.31457440000003,5597.858336799999,20501,151.75
"INDIANB",753,1639,2392,5247.442,169.4041,5416.8461,10764,694.2
"360ONE",896,3184,4080,4893.4902,262.20675,5155.69695,10934,1083
"KFINTECH",934,1093,2027,4634.771895,91.62315,4726.395045,6658,1105
"ANGELONE",775,4619,5394,4306.93715,342.4866,4649.42375,48051,2229.9
"OFSS",591,3323,3914,4038.423105,188.2513275,4226.6744325,55045,9135.5
"NIFTYNXT50",228,230,458,3939.55341,39.6719425,3979.2253525,1415,69007.6
"RBLBANK",461,64,525,3947.0460175,8.0705325,3955.11655,31798,266
"MANKIND",635,792,1427,3691.927125,69.993585,3761.92071,9871,2567.2
