"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"WIPRO",7292,31462,38754,54426.6825,4485.4647,58912.1472,69502,248.98
"TATAPOWER",9186,49355,58541,52659.346225,4133.69016,56793.036385,76148,390.5
"DLF",8344,45041,53385,51152.177505,4970.2764375,56122.4539425,83318,740.25
"NATIONALUM",6043,23670,29713,51203.686125,4278.7155,55482.401625,36749,224.69
"SAIL",8192,22987,31179,51395.45128,3320.89592,54716.3472,60841,131.74
"DMART",7213,66623,73836,47035.396635,7157.02434,54192.420975,70824,4328
"GODREJPROP",8325,36508,44833,47800.4342475,5091.80518,52892.2394275,52114,2089
"BANDHANBNK",7906,24662,32568,47907.9828,3912.1848,51820.1676,43156,168.5
"LTIM",5814,20261,26075,47632.33617,3178.766985,50811.103155,27876,5465
"TITAN",7414,51015,58429,46297.9381375,3389.85885,49687.7969875,107147,3529
"NMDC",4252,20124,24376,44499.37365,3806.7786,48306.15225,36670,77.15
"LTF",3940,11325,15265,45446.6738476,2791.0760406,48237.7498882,22772,255.76
"POLYCAB",4288,33546,37834,41711.785175,6514.9291375,48226.7143125,24393,7730
"COFORGE",6617,28865,35482,43105.1138625,4877.5120125,47982.625875,52571,1719.3
"BAJFINANCE",5575,31554,37129,43057.713075,4531.960275,47589.67335,164309,1025
"TECHM",5098,15295,20393,44505.65166,2712.65604,47218.3077,42847,1458
"NTPC",8500,55778,64278,43517.9433,3138.3525,46656.2958,102576,338.8
"INDIGO",5067,24288,29355,43885.07349,2683.182195,46568.255685,75262,5736
"JIOFIN",5885,22371,28256,43034.779905,2907.575335,45942.35524,97363,308.2
"HAVELLS",5539,16470,22009,41893.2803,2258.33965,44151.61995,29359,1499.9
"MUTHOOTFIN",4615,25105,29720,40493.1892475,3318.610955,43811.8002025,22932,3165
"SAMMAANCAP",5719,16771,22490,40235.81079,3243.86109,43479.67188,40925,162.9
"CUMMINSIND",5024,15495,20519,40169.26348,2044.71164,42213.97512,21147,3957.9
"SONACOMS",8238,37327,45565,38161.20399,4013.86608,42175.07007,30473,433.15
"ADANIENT",4761,33482,38243,36674.14239,5274.08499,41948.22738,90585,2542.1
"ADANIPORTS",5603,36306,41909,37774.035565,3791.97098,41566.006545,73426,1411.3
"BIOCON",4270,19213,23483,37971.48525,2963.11075,40934.596,26855,353.1
"RECLTD",8156,17683,25839,39143.247915,1540.0578375,40683.3057525,105278,372.6
"AUROPHARMA",5810,25783,31593,36367.79487,3094.741485,39462.536355,49042,1130.1
"JSWSTEEL",4703,17100,21803,37070.07525,2278.285245,39348.360495,81331,1167.8
"LUPIN",4237,24128,28365,35491.8687025,3366.963645,38858.8323475,39744,1958.2
"EICHERMOT",2954,18112,21066,36057.935655,2693.9435425,38751.8791975,38755,6974
"ANGELONE",5765,31730,37495,33245.61665,5331.07885,38576.6955,29912,2303.8
"HINDUNILVR",4730,21049,25779,35915.60322,1875.74055,37791.34377,72330,2526
"SBILIFE",5053,25845,30898,34785.2541375,2422.2783,37207.5324375,28092,1808.1
"MANAPPURAM",4044,12717,16761,34815.216,1986.6411,36801.8571,16522,285.15
"ZYDUSLIFE",3900,9621,13521,35168.8932,1364.76738,36533.66058,15673,993
"ASIANPAINT",5893,25388,31281,34728.03975,1738.1845,36466.22425,92562,2338.6
"INDUSTOWER",5233,17729,22962,31778.54404,2357.62664,34136.17068,73689,354.3
"PPLPHARMA",5930,24583,30513,30142.603,3224.53875,33367.14175,15439,201.67
