date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2021-02-19,1418,1561.5491943359,1561.5491943359,1477.5029296875,1477.5029296875,29275926.0,6948679.0,4,44237770154.36274
2021-02-22,1419,1486.0467529297,1486.0467529297,1486.0467529297,1486.0467529297,14725919.0,14725919.0,1,21883404113.855774
2021-02-26,1423,1467.9512939453,1542.1575927734,1467.9512939453,1472.9912109375,40288327.0,7157166.0,4,60488392551.33592
2021-03-04,1427,1496.5104980469,1523.3421630859,1489.9346923828,1489.9346923828,28579952.0,20434233.0,4,42939105562.85946
2021-03-17,1435,1468.7673339844,1499.9665527344,1435.5040283203,1435.5040283203,60666484.0,7533348.0,8,89089284208.37015
2021-04-12,1451,1431.328125,1491.5186767578,1312.3387451172,1312.3387451172,171034541.0,51856765.0,16,241154983387.24258
2021-06-17,1496,1344.3060302734,1459.6954345703,1331.3463134766,1407.4244384766,374895932.0,182701093.0,45,520518294020.7055
2021-08-13,1536,1420.5764160156,1484.2833251953,1366.4663085938,1471.4603271484,270275216.0,154975236.0,40,385149847320.5162
2021-12-21,1623,1475.7025146484,1628.1319580078,1374.5168457031,1390.0875244141,532059471.0,251018047.0,87,803086078897.9606
2022-04-04,1694,1393.3654785156,1597.3762207031,1277.2840576172,1597.3762207031,584251892.0,301535972.0,71,833775627078.802
2022-04-19,1703,1550.5675048828,1550.5675048828,1294.0598144531,1294.0598144531,168415941.0,0.0,9,237911481764.57452
2022-06-01,1733,1305.7258300781,1366.9925537109,1255.3156738281,1360.4577636719,320496249.0,208758703.0,30,418846326135.2403
2022-06-17,1745,1350.9481201172,1350.9481201172,1249.7075195312,1257.9490966797,59389921.0,14011163.0,12,77372201715.84679
2022-07-07,1759,1289.5502929688,1361.3843994141,1289.5502929688,1361.3843994141,84912687.0,63787669.0,14,111910934748.67963
2022-07-29,1775,1362.6522216797,1398.8374023438,1314.3240966797,1398.8374023438,108447001.0,69599273.0,16,146119065286.7319
2022-08-17,1786,1410.4927978516,1472.6710205078,1391.8637695312,1472.6710205078,72648656.0,50064622.0,11,103655884142.60918
2022-10-07,1821,1474.4265136719,1490.9587402344,1348.2658691406,1395.5213623047,218473036.0,86751272.0,35,313451068805.3533
2022-11-15,1846,1380.1108398438,1579.0809326172,1359.2385253906,1579.0809326172,175852519.0,118107247.0,25,257237612957.90176
2023-01-20,1894,1592.6383056641,1621.2645263672,1529.6311035156,1619.9964599609,285824789.0,165409012.0,48,451349088821.1097
2023-03-24,1937,1631.8469238281,1653.6947021484,1503.8819580078,1522.1696777344,398762906.0,156733163.0,43,624432286939.2186
2023-04-03,1942,1528.8020019531,1570.8392333984,1528.8020019531,1570.8392333984,92824273.0,92824273.0,5,144102699810.71228
2023-04-20,1952,1612.9741210938,1650.7198486328,1612.9741210938,1630.6766357422,172084706.0,125156876.0,10,279912924174.7483
2023-05-04,1961,1633.3100585938,1685.1983642578,1623.1176757812,1685.1983642578,163870022.0,122582896.0,9,269858270774.65167
2023-05-10,1965,1585.5670166016,1611.3647460938,1585.5670166016,1611.3647460938,95022214.0,63637006.0,4,152004908410.39575
2023-05-15,1968,1612.4377441406,1634.48046875,1612.4377441406,1634.48046875,38362819.0,38362819.0,3,62221736313.21367
2023-05-18,1971,1625.1085205078,1625.1085205078,1616.3775634766,1622.8393554688,56417948.0,24823471.0,3,91495956994.13455
2023-05-25,1976,1624.7138671875,1624.7138671875,1587.9162597656,1587.9162597656,72314740.0,15230166.0,5,116238367581.79654
2023-05-29,1978,1594.0328369141,1613.4674072266,1594.0328369141,1613.4674072266,24225679.0,24225679.0,2,38828522952.95635
2023-05-30,1979,1614.7005615234,1614.7005615234,1614.7005615234,1614.7005615234,18562964.0,18562964.0,1,29973628394.338657
2023-06-21,1995,1589.1494140625,1613.5660400391,1560.7374267578,1613.5660400391,212373486.0,105632967.0,16,336320819339.8561
2023-07-03,2002,1621.4582519531,1696.6318359375,1613.5167236328,1696.6318359375,136131809.0,117397043.0,7,224691683414.92032
2023-07-06,2005,1704.9185791016,1704.9185791016,1650.7581787109,1652.4353027344,64058743.0,45475866.0,3,106839811879.30841
2023-07-07,2006,1638.0319824219,1638.0319824219,1638.0319824219,1638.0319824219,9963168.0,0.0,1,16319987830.242437
2023-07-12,2009,1634.1351318359,1634.1351318359,1610.9516601562,1610.9516601562,80013613.0,0.0,3,129729325175.31583
2023-07-14,2011,1618.9919433594,1622.3461914062,1618.9919433594,1622.3461914062,33320380.0,33320380.0,2,53986897374.30484
2023-07-17,2012,1656.2827148438,1656.2827148438,1656.2827148438,1656.2827148438,24626464.0,24626464.0,1,40788386650.9231
2023-07-18,2013,1654.9016113281,1654.9016113281,1654.9016113281,1654.9016113281,40538409.0,0.0,1,67087078374.77755
2023-07-19,2014,1662.3991699219,1662.3991699219,1662.3991699219,1662.3991699219,16467567.0,16467567.0,1,27375669711.433273
2023-07-20,2015,1666.0,1666.0,1666.0,1666.0,28105474.0,28105474.0,1,46823719684.0
2023-07-27,2020,1653.1751708984,1673.7442626953,1650.6102294922,1650.6102294922,107430974.0,44086020.0,5,178326363667.94678
2023-07-28,2021,1621.3596191406,1621.3596191406,1621.3596191406,1621.3596191406,20507842.0,0.0,1,33250586894.515602
2023-07-31,2022,1628.9558105469,1628.9558105469,1628.9558105469,1628.9558105469,17282503.0,17282503.0,1,28152433682.64423
2023-08-10,2030,1639.8570556641,1639.8570556641,1606.7097167969,1613.8126220703,157394930.0,53071864.0,8,255387464392.1565
2023-08-23,2038,1596.9924316406,1596.9924316406,1561.3786621094,1565.2260742188,131397304.0,18249294.0,8,207120818298.01114
2023-09-13,2053,1558.0245361328,1621.7542724609,1540.4642333984,1621.7542724609,307426054.0,187382251.0,15,483509833759.8444
2023-12-08,2110,1620.7677001953,1639.3637695312,1443.6859130859,1630.9289550781,1054534145.0,540553279.0,57,1607150018026.5771
2024-02-08,2151,1628.7585449219,1686.2238769531,1384.1489257812,1384.1489257812,1007954485.0,367405298.0,41,1537966683464.2966
2024-04-03,2187,1384.69140625,1462.3312988281,1365.4047851562,1462.3312988281,851374841.0,460462414.0,36,1204609920596.375
2024-06-03,2226,1507.0209960938,1572.1999511719,1428.0,1572.1999511719,713230778.0,415769717.0,39,1067267359482.0869
2024-06-12,2233,1483.1500244141,1574.1500244141,1483.1500244141,1574.1500244141,172788898.0,116796249.0,7,266377260087.46716
2024-06-14,2235,1580.75,1596.9000244141,1580.75,1596.9000244141,24830373.0,24830373.0,2,39456852405.07482
2024-06-18,2236,1607.8000488281,1607.8000488281,1607.8000488281,1607.8000488281,16207857.0,16207857.0,1,26058993275.998863
2024-06-20,2238,1657.8499755859,1669.3499755859,1657.8499755859,1669.3499755859,65769969.0,65769969.0,2,109274841767.4354
2024-06-21,2239,1665.75,1665.75,1665.75,1665.75,25815388.0,0.0,1,43001982561.0
2024-06-26,2242,1672.4000244141,1711.3499755859,1672.4000244141,1701.5,75331604.0,51533271.0,3,128128412605.96191
2024-06-27,2243,1696.1500244141,1696.1500244141,1696.1500244141,1696.1500244141,27537325.0,0.0,1,46707434471.049
2024-07-02,2246,1683.8000488281,1730.5999755859,1683.8000488281,1730.5999755859,46792380.0,33554357.0,3,80090277715.35808
2024-07-11,2253,1768.6500244141,1768.6500244141,1621.9000244141,1621.9000244141,214315971.0,85884340.0,7,360843195105.78046
2024-08-09,2273,1622.6999511719,1659.1500244141,1601.1999511719,1650.1999511719,409043020.0,222429808.0,20,663369297359.7021
2024-08-20,2279,1660.0999755859,1660.0999755859,1603.1999511719,1637.6999511719,102095785.0,65317182.0,6,166088810639.32767
2024-09-19,2301,1625.8000488281,1708.5,1625.0500488281,1708.5,524709726.0,173562487.0,22,862603504542.6465
2024-09-23,2303,1741.1999511719,1759.8000488281,1741.1999511719,1759.8000488281,43794368.0,43794368.0,2,76505530494.87103
2024-09-24,2304,1768.0500488281,1768.0500488281,1768.0500488281,1768.0500488281,16519518.0,16519518.0,1,29207334606.516678
2024-10-03,2310,1779.0999755859,1783.4499511719,1682.0,1682.0,99453837.0,31932478.0,6,172912720856.3541
2024-11-27,2347,1657.6500244141,1812.3000488281,1617.8000488281,1812.3000488281,770434746.0,485150322.0,37,1334128842866.2617
2024-12-04,2352,1793.1500244141,1860.0999755859,1793.1500244141,1860.0999755859,83291065.0,65429869.0,5,151695582946.11487
2024-12-16,2360,1865.75,1871.75,1855.8499755859,1865.1999511719,80597281.0,42819814.0,8,150337878835.85513
2024-12-20,2364,1833.25,1833.25,1771.5,1771.5,47787481.0,0.0,4,86044618355.3665
2025-04-08,2438,1801.0,1828.1999511719,1629.8000488281,1769.1500244141,804359985.0,438035217.0,74,1383696893067.9133
2025-04-17,2443,1765.0,1906.6999511719,1765.0,1906.6999511719,79684311.0,68457007.0,5,147400248874.58047
2025-07-01,2494,1927.0999755859,2014.9000244141,1889.6999511719,2008.5,516511398.0,291491528.0,51,1003047437827.9252
2025-07-30,2515,1986.0,2025.8000488281,1957.4000244141,2025.8000488281,162063052.0,92095244.0,21,323984979249.61176
